offering_id,course_id,section_id,professor_id,session_index,day,timeslot,room_id
17,11,7,8,1,Mon,1,1
7,5,5,4,1,Mon,1,17
29,14,6,3,1,Mon,1,22
18,12,1,1,1,Mon,2,5
15,3,5,9,1,Mon,2,10
13,1,7,8,1,Mon,2,22
22,15,4,1,1,Mon,3,15
16,1,5,8,1,Mon,4,12
27,2,3,10,1,Mon,4,27
20,10,8,5,1,Mon,5,4
14,1,3,8,1,Mon,5,11
9,4,1,1,1,Mon,6,12
25,9,9,6,1,Tue,1,18
21,12,9,1,1,Tue,2,10
4,1,7,8,1,Tue,2,12
3,12,7,1,1,Tue,3,7
1,1,3,8,1,Tue,3,12
6,8,4,3,1,Tue,3,16
26,1,5,8,1,Tue,4,1
2,3,8,9,1,Tue,4,4
24,12,2,1,1,Tue,5,10
19,15,10,1,1,Tue,6,4
11,7,7,4,1,Tue,6,10
5,15,4,1,1,Wed,1,16
14,1,3,8,2,Wed,1,25
8,3,6,9,1,Wed,2,7
9,4,1,1,2,Wed,2,11
23,1,10,8,1,Wed,3,10
13,1,7,8,2,Wed,4,7
28,10,10,5,1,Wed,4,10
30,6,10,5,1,Wed,5,12
10,1,9,8,1,Wed,6,2
12,5,5,4,1,Wed,6,16
19,15,10,1,2,Thu,1,6
1,1,3,8,2,Thu,1,7
22,15,4,1,2,Thu,2,7
15,3,5,9,2,Thu,2,19
11,7,7,4,2,Thu,2,21
3,12,7,1,2,Thu,3,5
16,1,5,8,2,Thu,3,7
20,10,8,5,2,Thu,3,10
4,1,7,8,2,Thu,4,2
29,14,6,3,2,Thu,4,11
7,5,5,4,2,Thu,4,16
26,1,5,8,2,Thu,5,12
25,9,9,6,2,Fri,1,23
5,15,4,1,2,Fri,1,24
21,12,9,1,2,Fri,2,1
30,6,10,5,2,Fri,2,5
24,12,2,1,2,Fri,3,2
10,1,9,8,2,Fri,3,4
6,8,4,3,2,Fri,3,5
8,3,6,9,2,Fri,3,15
23,1,10,8,2,Fri,4,3
12,5,5,4,2,Fri,4,13
18,12,1,1,2,Fri,4,18
2,3,8,9,2,Fri,5,7
27,2,3,10,2,Fri,5,10
28,10,10,5,2,Fri,6,2
17,11,7,8,2,Fri,6,4
