offering_id,course_id,section_id,professor_id,session_index,day,timeslot,room_id
9,1,7,7,1,Mon,1,5
3,14,4,2,1,Mon,3,5
27,8,5,5,1,Mon,3,12
18,3,3,9,1,Mon,3,22
12,5,2,3,1,Mon,3,30
17,8,2,5,1,Mon,4,2
28,15,10,4,1,Mon,4,12
25,9,5,1,1,Mon,4,23
11,4,1,2,1,Mon,5,2
1,6,10,7,1,Mon,5,8
2,2,6,9,1,Mon,5,18
14,13,8,1,1,Mon,6,20
7,12,1,10,1,Tue,2,5
29,2,6,9,1,Tue,2,19
21,15,10,4,1,Tue,3,22
23,6,4,7,1,Tue,4,6
13,13,10,1,1,Tue,4,8
15,8,5,5,1,Tue,4,11
26,12,3,10,1,Tue,4,17
30,15,8,4,1,Tue,4,18
10,12,9,10,1,Tue,6,14
25,9,5,1,2,Wed,1,12
8,5,2,3,1,Wed,2,8
24,4,9,2,1,Wed,3,15
12,5,2,3,2,Wed,3,17
19,2,8,9,1,Wed,4,2
17,8,2,5,2,Wed,4,3
22,5,9,3,1,Wed,4,7
4,1,7,7,1,Wed,4,29
1,6,10,7,2,Wed,5,6
18,3,3,9,2,Wed,5,14
16,5,9,3,1,Wed,5,15
6,3,3,9,1,Wed,6,7
20,6,8,7,1,Wed,6,10
5,11,10,2,1,Wed,6,18
11,4,1,2,2,Thu,1,12
13,13,10,1,2,Thu,2,20
28,15,10,4,2,Thu,3,6
3,14,4,2,2,Thu,3,16
23,6,4,7,2,Thu,4,10
10,12,9,10,2,Thu,4,14
2,2,6,9,2,Thu,5,10
26,12,3,10,2,Thu,5,15
21,15,10,4,2,Thu,5,19
27,8,5,5,2,Thu,6,2
14,13,8,1,2,Thu,6,11
6,3,3,9,2,Fri,1,21
20,6,8,7,2,Fri,2,3
22,5,9,3,2,Fri,2,12
16,5,9,3,2,Fri,3,3
15,8,5,5,2,Fri,3,6
19,2,8,9,2,Fri,3,18
7,12,1,10,2,Fri,4,7
24,4,9,2,2,Fri,4,20
8,5,2,3,2,Fri,5,6
30,15,8,4,2,Fri,5,8
9,1,7,7,2,Fri,5,18
4,1,7,7,2,Fri,6,20
29,2,6,9,2,Fri,6,21
5,11,10,2,2,Fri,6,22
