offering_id,course_id,section_id,professor_id,session_index,day,timeslot,room_id
23,9,1,8,1,Mon,1,5
14,15,10,7,1,Mon,1,17
25,14,9,10,1,Mon,1,25
29,3,4,3,1,Mon,2,14
21,4,7,8,1,Mon,2,18
18,13,4,6,1,Mon,3,11
8,1,6,1,1,Mon,3,13
1,8,7,10,1,Mon,3,15
20,4,6,8,1,Mon,4,2
19,1,4,1,1,Mon,5,27
4,5,2,6,1,Mon,5,29
3,2,3,5,1,Mon,6,6
12,1,2,1,1,Mon,6,21
13,14,7,10,1,Tue,1,2
16,13,6,6,1,Tue,1,14
30,12,4,7,1,Tue,2,2
11,14,7,10,1,Tue,2,7
17,1,3,1,1,Tue,2,19
26,9,9,8,1,Tue,2,30
10,13,8,6,1,Tue,3,3
6,3,1,3,1,Tue,3,5
15,10,10,1,1,Tue,3,9
2,2,6,5,1,Tue,3,14
27,10,6,1,1,Tue,4,9
28,3,8,3,1,Tue,4,11
9,9,8,8,1,Tue,5,17
7,13,2,6,1,Tue,6,5
12,1,2,1,2,Wed,1,16
18,13,4,6,2,Wed,2,3
19,1,4,1,2,Wed,3,30
5,7,8,8,1,Wed,4,18
22,7,4,8,1,Wed,5,9
24,1,9,1,1,Wed,5,10
8,1,6,1,2,Wed,6,5
7,13,2,6,2,Thu,1,5
11,14,7,10,2,Thu,1,6
28,3,8,3,2,Thu,2,7
15,10,10,1,2,Thu,2,13
21,4,7,8,2,Thu,2,16
23,9,1,8,2,Thu,3,5
13,14,7,10,2,Thu,3,6
30,12,4,7,2,Thu,4,3
16,13,6,6,2,Thu,4,14
1,8,7,10,2,Thu,4,18
20,4,6,8,2,Thu,5,7
25,14,9,10,2,Thu,5,9
3,2,3,5,2,Thu,5,27
27,10,6,1,2,Thu,6,3
26,9,9,8,2,Thu,6,12
9,9,8,8,2,Fri,1,5
29,3,4,3,2,Fri,1,17
6,3,1,3,2,Fri,2,6
10,13,8,6,2,Fri,2,10
14,15,10,7,2,Fri,3,3
5,7,8,8,2,Fri,3,11
4,5,2,6,2,Fri,3,30
22,7,4,8,2,Fri,4,7
17,1,3,1,2,Fri,4,18
2,2,6,5,2,Fri,6,14
24,1,9,1,2,Fri,6,15
